op_id,machine_id,process_time
J2_O8,M41,456.14
J2_O8,M42,459.81
J2_O8,M43,448.25
J2_O8,M44,447.44
J2_O8,M45,455.53
J2_O8,M46,446.82
J2_O8,M47,458.62
J2_O8,M48,457.17
J2_O8,M49,448.58
J2_O9,M1,500.07
J2_O9,M2,500.36
J2_O9,M3,448.25
J2_O9,M4,512.2
J2_O9,M5,480.42
J2_O9,M6,506.12
J2_O9,M7,465.6
J2_O9,M8,511.64
J2_O9,M9,471.14
J2_O9,M10,440.87
J2_O9,M11,512.43
J2_O9,M12,447.3
J2_O9,M13,465.55
J2_O9,M14,516.0
J2_O9,M15,516.05
J2_O9,M16,485.88
J2_O9,M17,490.55
J2_O9,M18,475.88
J2_O9,M19,463.46
J2_O9,M20,466.29
J2_O9,M21,493.8
J2_O9,M22,500.19
J2_O9,M23,503.33
J2_O9,M24,503.17
J2_O9,M25,447.3
J2_O9,M26,479.55
J2_O9,M27,444.6
J2_O9,M28,483.96
J2_O9,M29,475.32
J2_O9,M30,511.02
J2_O10,M50,342.55
J2_O10,M51,330.85
J2_O10,M52,332.15
J2_O10,M53,363.08
J2_O10,M54,355.91
J2_O10,M55,330.06
J2_O10,M56,329.21
J2_O10,M57,360.05
J2_O11,M1,445.82
J2_O11,M2,505.75
J2_O11,M3,496.5
J2_O11,M4,446.51
J2_O11,M5,446.79
J2_O11,M6,518.93
J2_O11,M7,469.94
J2_O11,M8,469.65
J2_O11,M9,505.02
J2_O11,M10,515.78
J2_O11,M11,518.88
J2_O11,M12,500.27
J2_O11,M13,470.1
J2_O11,M14,446.68
J2_O11,M15,502.17
J2_O11,M16,484.67
J2_O11,M17,473.94
J2_O11,M18,512.51
J2_O11,M19,448.9
J2_O11,M20,479.41
J2_O11,M21,440.91
J2_O11,M22,477.49
J2_O11,M23,444.5
J2_O11,M24,449.51
J2_O11,M25,449.4
J2_O11,M26,491.94
J2_O11,M27,499.68
J2_O11,M28,486.67
J2_O11,M29,516.97
J2_O11,M30,469.99
J2_O12,M31,175.71
J2_O12,M32,187.37
J2_O12,M33,174.47
J2_O12,M34,189.26
J2_O13,M1,440.97
J2_O13,M2,517.59
J2_O13,M3,443.45
J2_O13,M4,511.29
J2_O13,M5,482.22
J2_O13,M6,519.44
J2_O13,M7,445.9
J2_O13,M8,484.31
J2_O13,M9,517.54
J2_O13,M10,481.85
J2_O13,M11,490.35
J2_O13,M12,495.66
J2_O13,M13,476.36
J2_O13,M14,490.2
J2_O13,M15,486.75
J2_O13,M16,512.09
J2_O13,M17,443.64
J2_O13,M18,462.48
J2_O13,M19,516.03
J2_O13,M20,511.22
J2_O13,M21,476.45
J2_O13,M22,489.61
J2_O13,M23,462.19
J2_O13,M24,455.05
J2_O13,M25,477.1
J2_O13,M26,468.27
J2_O13,M27,486.69
J2_O13,M28,446.22
J2_O13,M29,517.95
J2_O13,M30,518.9
J2_O14,M31,183.96
J2_O14,M32,180.72
J2_O14,M33,176.19
J2_O14,M34,186.28
J3_O1,M35,453.69
J3_O1,M36,443.25
J3_O1,M37,458.22
J3_O1,M38,456.45
J3_O1,M39,459.0
J3_O1,M40,454.51
J3_O1,M41,452.27
J3_O1,M42,448.36
J3_O1,M43,458.65
J3_O1,M44,457.32
J3_O1,M45,440.9
J3_O1,M46,440.53
J3_O1,M47,447.53
J3_O1,M48,456.21
J3_O1,M49,459.75
J3_O2,M1,452.03
J3_O2,M2,487.53
J3_O2,M3,470.47
J3_O2,M4,517.59
J3_O2,M5,507.37
J3_O2,M6,507.07
J3_O2,M7,477.5
J3_O2,M8,473.19
J3_O2,M9,461.87
J3_O2,M10,444.51
J3_O2,M11,509.18
J3_O2,M12,505.03
J3_O2,M13,519.98
J3_O2,M14,519.73
J3_O2,M15,484.43
J3_O2,M16,501.52
J3_O2,M17,515.58
J3_O2,M18,507.97
J3_O2,M19,459.79
J3_O2,M20,476.04
J3_O2,M21,450.33
J3_O2,M22,516.32
J3_O2,M23,488.49
J3_O2,M24,458.29
J3_O2,M25,493.74
J3_O2,M26,489.45
J3_O2,M27,468.65
J3_O2,M28,449.08
J3_O2,M29,493.73
J3_O2,M30,481.62
J3_O3,M35,455.45
J3_O3,M36,450.4
J3_O3,M37,457.04
J3_O3,M38,451.04
J3_O3,M39,451.22
J3_O3,M40,457.53
J3_O3,M41,448.07
J3_O3,M42,442.68
J3_O3,M43,440.58
J3_O3,M44,455.1
J3_O3,M45,452.41
J3_O3,M46,454.08
J3_O3,M47,444.26
J3_O3,M48,442.73
J3_O3,M49,440.29
J3_O4,M1,468.05
J3_O4,M2,487.19
J3_O4,M3,471.38
J3_O4,M4,475.0
J3_O4,M5,512.33
J3_O4,M6,467.86
J3_O4,M7,481.12
J3_O4,M8,502.69
J3_O4,M9,471.72
J3_O4,M10,489.77
J3_O4,M11,508.99
J3_O4,M12,515.96
J3_O4,M13,451.77
J3_O4,M14,514.13
J3_O4,M15,479.37
J3_O4,M16,460.66
J3_O4,M17,476.73
J3_O4,M18,518.4
J3_O4,M19,479.41
J3_O4,M20,466.3
J3_O4,M21,490.67
J3_O4,M22,459.21
J3_O4,M23,446.07
J3_O4,M24,450.31
J3_O4,M25,450.24
J3_O4,M26,452.15
J3_O4,M27,451.11
J3_O4,M28,491.27
J3_O4,M29,454.55
J3_O4,M30,467.65
J3_O5,M50,369.84
J3_O5,M51,348.7
J3_O5,M52,358.38
J3_O5,M53,333.62
J3_O5,M54,334.61
J3_O5,M55,327.04
J3_O5,M56,333.45
J3_O5,M57,338.93
J3_O6,M1,454.16
J3_O6,M2,447.1
J3_O6,M3,449.65
J3_O6,M4,476.86
J3_O6,M5,456.51
J3_O6,M6,469.14
J3_O6,M7,480.27
J3_O6,M8,495.23
J3_O6,M9,443.14
J3_O6,M10,503.95
J3_O6,M11,490.23
J3_O6,M12,446.54
J3_O6,M13,509.89
J3_O6,M14,513.67
J3_O6,M15,444.89
J3_O6,M16,462.15
J3_O6,M17,504.5
J3_O6,M18,499.86
J3_O6,M19,454.76
J3_O6,M20,456.75
J3_O6,M21,469.64
J3_O6,M22,478.76
J3_O6,M23,489.46
J3_O6,M24,469.51
J3_O6,M25,477.0
J3_O6,M26,499.8
J3_O6,M27,442.93
J3_O6,M28,460.19
J3_O6,M29,497.07
J3_O6,M30,511.62
J3_O7,M58,150.12
J3_O7,M59,150.32
J3_O7,M60,146.07
J3_O8,M35,448.95
J3_O8,M36,450.65
J3_O8,M37,444.85
J3_O8,M38,445.38
J3_O8,M39,447.55
J3_O8,M40,440.4
J3_O8,M41,446.44
J3_O8,M42,444.23
J3_O8,M43,446.55
J3_O8,M44,442.4
J3_O8,M45,457.81
J3_O8,M46,451.87
J3_O8,M47,453.58
J3_O8,M48,455.78
J3_O8,M49,449.97
J3_O9,M1,446.95
J3_O9,M2,482.97
J3_O9,M3,486.95
J3_O9,M4,499.64
J3_O9,M5,474.53
J3_O9,M6,450.21
J3_O9,M7,462.7
J3_O9,M8,469.05
J3_O9,M9,491.67
J3_O9,M10,485.66
J3_O9,M11,468.49
J3_O9,M12,518.92
J3_O9,M13,488.46
J3_O9,M14,458.98
J3_O9,M15,448.14
J3_O9,M16,452.23
J3_O9,M17,459.68
J3_O9,M18,452.85
J3_O9,M19,454.93
J3_O9,M20,462.81
J3_O9,M21,453.87
J3_O9,M22,511.74
J3_O9,M23,446.42
J3_O9,M24,481.96
J3_O9,M25,472.83
J3_O9,M26,518.59
J3_O9,M27,448.96
J3_O9,M28,471.83
J3_O9,M29,517.56
J3_O9,M30,509.24
J3_O10,M50,365.85
J3_O10,M51,337.9
J3_O10,M52,333.54
J3_O10,M53,358.43
J3_O10,M54,371.47
J3_O10,M55,352.84
J3_O10,M56,353.58
J3_O10,M57,339.0
J3_O11,M1,501.56
J3_O11,M2,454.96
J3_O11,M3,465.89
J3_O11,M4,474.03
J3_O11,M5,480.61
J3_O11,M6,459.39
J3_O11,M7,449.19
J3_O11,M8,488.85
J3_O11,M9,463.09
J3_O11,M10,486.5
J3_O11,M11,452.35
J3_O11,M12,478.49
J3_O11,M13,482.61
J3_O11,M14,444.15
J3_O11,M15,466.93
J3_O11,M16,450.75
J3_O11,M17,445.07
J3_O11,M18,519.2
J3_O11,M19,465.79
J3_O11,M20,504.79
J3_O11,M21,460.37
J3_O11,M22,494.52
J3_O11,M23,500.82
J3_O11,M24,487.65
J3_O11,M25,477.73
J3_O11,M26,472.95
J3_O11,M27,467.91
J3_O11,M28,514.36
J3_O11,M29,506.45
J3_O11,M30,517.2
J3_O12,M31,172.49
J3_O12,M32,184.62
J3_O12,M33,188.77
J3_O12,M34,173.62
J3_O13,M1,445.32
J3_O13,M2,499.29
J3_O13,M3,485.96
J3_O13,M4,507.35
J3_O13,M5,451.18
J3_O13,M6,503.62
J3_O13,M7,456.13
J3_O13,M8,453.09
J3_O13,M9,453.14
J3_O13,M10,505.17
J3_O13,M11,493.22
J3_O13,M12,481.85
J3_O13,M13,468.71
J3_O13,M14,510.18
J3_O13,M15,471.4
J3_O13,M16,505.33
J3_O13,M17,475.13
J3_O13,M18,470.16
J3_O13,M19,477.01
J3_O13,M20,464.11
J3_O13,M21,499.81
J3_O13,M22,480.22
J3_O13,M23,458.58
J3_O13,M24,511.97
J3_O13,M25,470.71
J3_O13,M26,483.48
J3_O13,M27,512.52
J3_O13,M28,489.94
J3_O13,M29,449.35
J3_O13,M30,515.19
J3_O14,M31,182.55
J3_O14,M32,176.7
J3_O14,M33,172.79
J3_O14,M34,185.88
J4_O1,M35,452.4
J4_O1,M36,450.67
J4_O1,M37,457.88
J4_O1,M38,455.77
J4_O1,M39,443.03
J4_O1,M40,446.23
J4_O1,M41,444.97
J4_O1,M42,454.88
J4_O1,M43,440.67
J4_O1,M44,451.4
J4_O1,M45,455.25
J4_O1,M46,457.54
J4_O1,M47,446.84
J4_O1,M48,456.43
J4_O1,M49,442.21
J4_O2,M1,507.72
J4_O2,M2,450.2
J4_O2,M3,471.78
J4_O2,M4,503.78
J4_O2,M5,451.99
J4_O2,M6,458.34
J4_O2,M7,497.78
J4_O2,M8,497.6
J4_O2,M9,491.29
J4_O2,M10,495.52
J4_O2,M11,483.42
J4_O2,M12,460.14
J4_O2,M13,467.66
J4_O2,M14,454.53
J4_O2,M15,512.68
J4_O2,M16,486.67
J4_O2,M17,472.07
J4_O2,M18,476.96
J4_O2,M19,515.78
J4_O2,M20,452.27
J4_O2,M21,486.9
J4_O2,M22,480.47
J4_O2,M23,488.92
J4_O2,M24,441.45
J4_O2,M25,509.77
J4_O2,M26,514.57
J4_O2,M27,485.21
J4_O2,M28,495.73
J4_O2,M29,513.8
J4_O2,M30,496.58
J4_O3,M35,443.05
J4_O3,M36,451.53
J4_O3,M37,452.13
J4_O3,M38,448.48
J4_O3,M39,454.73
J4_O3,M40,458.69
J4_O3,M41,458.51
J4_O3,M42,449.02
J4_O3,M43,442.26
J4_O3,M44,459.7
J4_O3,M45,456.78
J4_O3,M46,442.49
J4_O3,M47,458.42
J4_O3,M48,457.4
J4_O3,M49,450.38
J4_O4,M1,487.3
J4_O4,M2,471.92
J4_O4,M3,444.38
J4_O4,M4,466.82
J4_O4,M5,504.23
J4_O4,M6,440.37
J4_O4,M7,466.68
J4_O4,M8,471.85
J4_O4,M9,482.99
J4_O4,M10,513.59
J4_O4,M11,467.71
J4_O4,M12,467.76
J4_O4,M13,499.0
J4_O4,M14,476.18
J4_O4,M15,457.97
J4_O4,M16,476.2
J4_O4,M17,451.27
J4_O4,M18,454.11
J4_O4,M19,479.87
J4_O4,M20,473.51
J4_O4,M21,513.19
J4_O4,M22,468.99
J4_O4,M23,486.45
J4_O4,M24,490.58
J4_O4,M25,441.05
J4_O4,M26,493.08
J4_O4,M27,454.24
J4_O4,M28,516.89
J4_O4,M29,451.89
J4_O4,M30,473.17
J4_O5,M50,329.27
J4_O5,M51,374.84
J4_O5,M52,350.11
J4_O5,M53,354.77
J4_O5,M54,328.35
J4_O5,M55,362.5
J4_O5,M56,335.5
J4_O5,M57,369.9
J4_O6,M1,456.41
J4_O6,M2,455.26
J4_O6,M3,442.92
J4_O6,M4,477.77
J4_O6,M5,485.19
J4_O6,M6,445.26
J4_O6,M7,502.04
J4_O6,M8,476.26
J4_O6,M9,481.95
J4_O6,M10,475.26
J4_O6,M11,472.06
J4_O6,M12,484.77
J4_O6,M13,452.42
J4_O6,M14,454.55
J4_O6,M15,508.94
J4_O6,M16,515.69
J4_O6,M17,469.86
J4_O6,M18,461.66
J4_O6,M19,491.52
J4_O6,M20,472.7
J4_O6,M21,442.03
J4_O6,M22,452.49
J4_O6,M23,497.28
J4_O6,M24,492.71
J4_O6,M25,442.17
J4_O6,M26,457.76
J4_O6,M27,458.49
J4_O6,M28,493.75
J4_O6,M29,441.58
J4_O6,M30,448.33
J4_O7,M58,153.0
J4_O7,M59,146.79
J4_O7,M60,151.53
J4_O8,M35,444.76
J4_O8,M36,441.99
J4_O8,M37,444.86
J4_O8,M38,454.45
J4_O8,M39,457.11
J4_O8,M40,456.6
J4_O8,M41,447.94
J4_O8,M42,453.36
J4_O8,M43,444.1
J4_O8,M44,445.86
J4_O8,M45,457.93
J4_O8,M46,440.26
J4_O8,M47,441.71
J4_O8,M48,444.16
J4_O8,M49,440.53
J4_O9,M1,454.51
J4_O9,M2,486.64
J4_O9,M3,473.71
J4_O9,M4,511.41
J4_O9,M5,505.4
J4_O9,M6,467.35
J4_O9,M7,460.75
J4_O9,M8,470.38
J4_O9,M9,487.22
J4_O9,M10,461.45
J4_O9,M11,489.93
J4_O9,M12,472.75
J4_O9,M13,484.16
J4_O9,M14,474.89
J4_O9,M15,463.56
J4_O9,M16,515.88
J4_O9,M17,501.09
J4_O9,M18,451.21
J4_O9,M19,509.48
J4_O9,M20,478.99
J4_O9,M21,511.56
J4_O9,M22,503.99
J4_O9,M23,474.02
J4_O9,M24,441.8
J4_O9,M25,461.49
J4_O9,M26,483.33
J4_O9,M27,490.68
J4_O9,M28,460.63
J4_O9,M29,451.15
J4_O9,M30,506.79
J4_O10,M50,374.22
J4_O10,M51,351.28
J4_O10,M52,333.58
J4_O10,M53,338.62
J4_O10,M54,325.92
J4_O10,M55,370.71
J4_O10,M56,330.89
J4_O10,M57,353.83
J4_O11,M1,461.92
J4_O11,M2,484.33
J4_O11,M3,492.11
J4_O11,M4,506.38
J4_O11,M5,456.51
J4_O11,M6,440.88
J4_O11,M7,450.95
J4_O11,M8,512.0
J4_O11,M9,509.91
J4_O11,M10,487.79
J4_O11,M11,488.04
J4_O11,M12,493.2
J4_O11,M13,454.03
J4_O11,M14,513.15
J4_O11,M15,473.5
J4_O11,M16,470.65
J4_O11,M17,481.51
J4_O11,M18,443.76
J4_O11,M19,453.3
J4_O11,M20,499.04
J4_O11,M21,446.62
J4_O11,M22,488.25
J4_O11,M23,459.63
J4_O11,M24,471.14
J4_O11,M25,463.1
J4_O11,M26,468.45
J4_O11,M27,497.52
J4_O11,M28,463.77
J4_O11,M29,485.31
J4_O11,M30,478.08
J4_O12,M31,183.27
J4_O12,M32,188.74
J4_O12,M33,184.65
J4_O12,M34,174.3
J4_O13,M1,442.49
J4_O13,M2,460.98
J4_O13,M3,487.61
J4_O13,M4,444.11
J4_O13,M5,479.71
J4_O13,M6,487.75
J4_O13,M7,466.74
J4_O13,M8,501.67
J4_O13,M9,448.53
J4_O13,M10,446.01
J4_O13,M11,498.26
J4_O13,M12,479.64
J4_O13,M13,495.07
J4_O13,M14,474.79
J4_O13,M15,459.71
J4_O13,M16,505.53
J4_O13,M17,503.95
J4_O13,M18,495.58
J4_O13,M19,461.77
J4_O13,M20,487.22
J4_O13,M21,468.88
J4_O13,M22,447.33
J4_O13,M23,513.39
J4_O13,M24,450.95
J4_O13,M25,516.02
J4_O13,M26,475.68
J4_O13,M27,454.81
J4_O13,M28,483.35
J4_O13,M29,509.84
J4_O13,M30,498.58
J4_O14,M31,186.13
J4_O14,M32,183.18
J4_O14,M33,183.85
J4_O14,M34,186.98
J5_O1,M35,444.99
J5_O1,M36,449.79
J5_O1,M37,444.42
J5_O1,M38,459.75
J5_O1,M39,458.88
J5_O1,M40,440.79
J5_O1,M41,454.11
J5_O1,M42,458.5
J5_O1,M43,443.61
J5_O1,M44,451.36
J5_O1,M45,458.31
J5_O1,M46,440.68
J5_O1,M47,453.95
J5_O1,M48,445.95
J5_O1,M49,458.49
J5_O2,M1,517.68
J5_O2,M2,515.54
J5_O2,M3,477.94
J5_O2,M4,508.96
J5_O2,M5,507.56
J5_O2,M6,465.53
J5_O2,M7,506.31
J5_O2,M8,442.96
J5_O2,M9,487.7
J5_O2,M10,458.4
J5_O2,M11,449.65
J5_O2,M12,446.16
J5_O2,M13,495.7
J5_O2,M14,467.19
J5_O2,M15,497.98
J5_O2,M16,445.23
J5_O2,M17,465.22
J5_O2,M18,483.16
J5_O2,M19,503.26
J5_O2,M20,465.5
J5_O2,M21,490.07
J5_O2,M22,510.88
J5_O2,M23,489.27
J5_O2,M24,458.64
J5_O2,M25,441.95
J5_O2,M26,509.61
J5_O2,M27,441.7
J5_O2,M28,509.98
J5_O2,M29,482.31
J5_O2,M30,515.13
J5_O3,M35,455.98
J5_O3,M36,459.96
J5_O3,M37,447.01
J5_O3,M38,455.34
J5_O3,M39,448.04
J5_O3,M40,449.6
J5_O3,M41,452.55
J5_O3,M42,457.47
J5_O3,M43,459.68
J5_O3,M44,455.37
J5_O3,M45,448.36
J5_O3,M46,448.43
J5_O3,M47,454.75
J5_O3,M48,444.78
J5_O3,M49,442.21
J5_O4,M1,468.37
J5_O4,M2,462.98
J5_O4,M3,463.7
J5_O4,M4,458.69
J5_O4,M5,443.37
J5_O4,M6,441.43
